Отрасль,Средний_коэфф_вариации
Государственное управление и оборона; обязательное социальное обеспечение,1.4889124975079153
Обрабатывающая промышленность,3.1039698078839124
Информация и связь,4.34577104739373
Деятельность в области административного и вспомогательного обслуживания,4.853354959181469
Финансовая и страховая деятельность,6.248031783452011
Горнодобывающая промышленность и разработка карьеров,7.813321696010873
"Сельское, лесное и рыбное хозяйство",8.006201460937165
"Электроснабжение, подача газа, пара и воздушное кондиционирование",8.202957614055295
Транспорт и складирование,11.151461788749685
"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",12.820275977974793
"Профессиональная, научная и техническая деятельность",15.244247564342745
Операции с недвижимым имуществом,15.974170047314445
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,17.73841860109322
Образование,20.18867520246211
Предоставление прочих видов услуг,22.200627487041455
Здравоохранение и социальное обслуживание населения,24.199806926804012
"Искусство, развлечения и отдых",29.538554671547715
Строительство,50.486901188160914
Услуги по проживанию и питанию,87.05786880669352
