,2018,2019,2020,2021,2022,2023
"Сельское, лесное и рыбное хозяйство",-0.06,-0.07,-0.15,-0.2,-0.14,0
Горнодобывающая промышленность и разработка карьеров,-0.09,-0.14,-0.21,-0.21,-0.16,-0.24
Обрабатывающая промышленность,-0.05,0.01,-0.05,-0.11,-0.18,0.02
"Электроснабжение, подача газа, пара и воздушное кондиционирование",-0.1,-0.02,0,0.03,-0.14,0.1
"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",-0.01,-0.01,-0.01,-0.18,0.14,0.3
Строительство,-0.14,-0.18,-0.22,-0.05,-0.23,-0.28
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,-0.03,0.02,0,0.01,-0.04,-0.07
Транспорт и складирование,-0.11,-0.19,-0.17,-0.12,-0.18,-0.23
Услуги по проживанию и питанию,0.01,0.01,-0.03,0.04,-0.21,-0.1
Информация и связь,-0.05,-0.05,-0.13,-0.13,-0.19,-0.18
Финансовая и страховая деятельность,-0.1,-0.17,-0.12,0.07,-0.03,-0.03
Операции с недвижимым имуществом,0.08,0.13,0.49,0.33,-0.22,-0.09
"Профессиональная, научная и техническая деятельность",-0.08,-0.07,-0.01,-0.19,-0.14,-0.24
Деятельность в области административного и вспомогательного обслуживания,-0.11,0.02,-0.08,-0.29,-0.19,-0.28
Государственное управление и оборона; обязательное социальное обеспечение,0.01,0.2,0.13,-0.04,-0.12,0.12
Образование,0,-0.02,0.01,0.07,0.03,-0.12
Здравоохранение и социальное обслуживание населения,0.02,0.01,0.06,0.14,-0.24,-0.53
"Искусство, развлечения и отдых",0.01,-0.01,-0.06,-0.12,-0.19,-0.25
Предоставление прочих видов услуг,-0.04,-0.18,-0.34,-0.25,-0.17,0.09
